LeadAuthor,Year
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Sorrento,2001
Souchon,2013
Sowden,2000
Sowden,2000
Spaanjaars,2015
Spaanjaars,2015
Spitz,2018
Spitz,2018
Spitz,2018
Spitz,2018
Spitz,2018
Stainer,2015
Ste-Marie,1991
Ste-Marie,1991
Ste-Marie,1991
Ste-Marie,1991
Ste-Marie,1991
Sullivan,2011
Sullivan,2011
Sullivan,2011
Takeuchi,2015
Takeuchi,2015
Takeuchi,2015
Takeuchi,2015
Taliep,2008
Taliep,2008
Taliep,2008
Taliep,2008
Taliep,2008
Taliep,2008
Tannenbaum,1989
Tannenbaum,1989
Tannenbaum,1989
Tanweer,2015
Tanweer,2015
Tanweer,2015
Tanweer,2015
Tanweer,2015
Tanweer,2015
Tanweer,2015
Taylor,2005
Taylor,2005
Taylor,2005
Thompson,2014
Thompson,2014
Thompson,2014
Thompson,2014
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2015
Thompson,2014
Thompson,2012
Thompson,2012
Thompson,2012
Thomson,2008
Thomson,2008
Thomson,2008
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Tong,2012
Törngren,2004
Törngren,2004
Törngren,2004
Törngren,2004
Törngren,2004
Törngren,2004
Törngren,2004
Trueblood,2018
Trueblood,2018
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Tsang,1998
Turner,1984
Turner,1984
Turner,1984
Turner,1984
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
van den Eeden,2019
Vickers,2012
Vickers,2012
Vickers,2012
Vickers,2012
Vickers,1996
Vickers,1996
Vickers,1996
Vickers,1996
Vickers,1996
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Voskuijl,1999
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Wagenaar,1985
Walsh,2018
Walters,1988
Walters,1988
Walters,1988
Walther,2003
Walther,2003
Walther,2003
Walther,2003
White,1992
White,1992
White,1992
Wiedenbeck,1985
Wiedenbeck,1985
Wiedenbeck,1985
Wiedenbeck,1985
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Wiggins,1995
Williams,1998
Williams,1998
Williams,1998
Williams,1998
Williams,1998
Wilson,2007
Wilson,2013
Wilson,2013
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wimshurst,2012
Wirth,2017
Wirth,2017
Wirth,2017
Wirth,2017
Wirth,2017
Witteman,2007
Witteman,2007
Witteman,2007
Wojciechowski,2018
Wood,2014
Wood,2014
Wood,2014
Woods,2015
Woods,2015
Wright,2017
Wright,2017
Wright,2017
Wright,2017
Wright,2017
Yang,2010
Yang,2010
Yang,2010
Yang,2010
Yang,2012
Yang,2012
Yang,2012
Yang,2012
Yang,2012
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Young,2007
Zenker,2018
Zhai,2018
